Model,Accuracy,F1-score
LogisticRegression,0.8268156424581006,0.7633587786259542
SVC,0.8268156424581006,0.7633587786259542
RandomForest,0.8156424581005587,0.7480916030534351
XGBoost,0.8044692737430168,0.7286821705426356
LightGBM,0.8044692737430168,0.732824427480916
